col_1,col_2,col_3,col_4,col_5,col_6
1,508,235,3944,325,0
2,564,231,4578,323,0
3,322,270,4011,328,0
4,846,261,5233,305,0
5,871,300,4780,303,0
6,774,317,5889,307,0
7,856,387,5663,301,0
8,889,285,5759,310,0
9,715,300,4894,300,0
10,753,221,5012,324,0
11,649,264,4908,329,0
12,830,308,5753,320,0
13,738,379,5439,337,0
14,659,342,4634,328,0
15,664,378,4921,330,0
16,572,232,4869,318,0
17,701,231,4672,309,0
18,443,246,4782,333,0
19,446,230,4296,330,0
20,615,268,4827,318,0
21,661,337,5057,304,0
22,772,344,5540,328,1
23,766,330,5331,323,1
24,631,261,4715,317,1
25,390,214,3828,310,1
26,450,245,4120,321,1
27,476,233,3817,342,1
28,603,250,4243,339,1
29,805,243,4647,287,1
30,523,216,3967,325,1
31,588,212,3946,315,1
32,584,208,3724,332,1
33,445,215,3448,358,1
34,500,221,3680,320,1
35,661,244,3825,355,1
36,680,234,4189,306,1
37,797,269,4336,335,1
38,534,302,4418,335,1
39,541,268,4323,344,1
40,605,323,4813,331,1
41,785,304,5046,324,1
42,698,317,3764,366,1
43,796,332,4504,340,1
44,804,315,4005,378,1
45,809,291,5560,330,1
46,726,312,4989,313,1
47,671,316,4697,305,1
48,909,332,5438,307,1
49,484,546,5613,386,1
50,831,311,5309,333,1
